,QueryId,EntityId,Score
0,152,11197989,-3.7625184059143066
1,152,1485591,-3.8763108253479004
2,152,7339280,-3.896261692047119
3,152,59549271,-5.685095310211182
4,152,2309979,-6.630953311920166
5,152,1940119,-6.728747367858887
6,152,22644794,-6.906707763671875
7,152,17673137,-7.043148994445801
8,152,15424259,-7.0523905754089355
9,152,30352708,-7.103555202484131
10,152,20534017,-7.2042036056518555
11,152,14045038,-7.2133026123046875
12,152,2823848,-7.293808937072754
13,152,17124732,-7.39048433303833
14,152,62978948,-7.46174955368042
15,152,9025070,-7.463637828826904
16,152,40399060,-7.483943462371826
17,152,52424299,-7.624239444732666
18,152,29952113,-7.748568534851074
19,152,65890950,-7.835206031799316
20,152,12411933,-7.939658164978027
21,152,176730,-7.955415725708008
22,152,13268478,-8.01286792755127
23,152,34026231,-8.046452522277832
24,152,4828864,-8.07852840423584
25,152,6545126,-8.135337829589844
26,152,35562670,-8.183982849121094
27,152,13461141,-8.190232276916504
28,152,43667097,-8.206747055053711
29,152,13331970,-8.248226165771484
30,152,26691842,-8.268218040466309
31,152,14894081,-8.284660339355469
32,152,34603655,-8.3519926071167
33,152,71185795,-8.372613906860352
34,152,62040066,-8.385684967041016
35,152,37649859,-8.438030242919922
36,152,24761625,-8.445734977722168
37,152,24296024,-8.52090835571289
38,152,4734763,-8.596302032470703
39,152,63433335,-8.600747108459473
40,152,71880486,-8.602356910705566
41,152,18884586,-8.634364128112793
42,152,29180492,-8.64498233795166
43,152,33541817,-8.652716636657715
44,152,60705900,-8.655879020690918
45,152,41354180,-8.675704956054688
46,152,43646102,-8.676837921142578
47,152,30863530,-8.715927124023438
48,152,21857490,-8.727285385131836
49,152,17640203,-8.821754455566406
50,152,24878165,-8.829606056213379
51,152,3583927,-8.84138011932373
52,152,39794964,-8.872883796691895
53,152,40358704,-8.907371520996094
54,152,10646793,-8.930766105651855
55,152,40834633,-8.931042671203613
56,152,12013299,-8.95361042022705
57,152,58944557,-8.975312232971191
58,152,71678049,-9.026795387268066
59,152,43217850,-9.029502868652344
60,152,15523657,-9.036186218261719
61,152,15120158,-9.045377731323242
62,152,52221372,-9.05262279510498
63,152,893151,-9.057680130004883
64,152,7021576,-9.103453636169434
65,152,59873434,-9.120596885681152
66,152,49014573,-9.183609962463379
67,152,71656553,-9.183870315551758
68,152,26400881,-9.18553638458252
69,152,1554502,-9.231461524963379
70,152,14743483,-9.263603210449219
71,152,28492527,-9.269082069396973
72,152,65542567,-9.273710250854492
73,152,19246141,-9.276725769042969
74,152,2531343,-9.286972999572754
75,152,44573966,-9.310675621032715
76,152,37729380,-9.323088645935059
77,152,34750129,-9.323249816894531
78,152,51107172,-9.343027114868164
79,152,20928879,-9.347562789916992
80,152,71458919,-9.357489585876465
81,152,4936664,-9.382532119750977
82,152,59606282,-9.415303230285645
83,152,49098297,-9.431859016418457
84,152,13461364,-9.447731971740723
85,152,14409782,-9.451087951660156
86,152,62801202,-9.456680297851562
87,152,32259041,-9.466338157653809
88,152,3608914,-9.46904182434082
89,152,35881727,-9.475587844848633
90,152,17058733,-9.495701789855957
91,152,23468947,-9.50937271118164
92,152,58752833,-9.515347480773926
93,152,35574505,-9.544825553894043
94,152,68666913,-9.549332618713379
95,152,11151333,-9.564271926879883
96,152,39483099,-9.565200805664062
97,152,43846724,-9.591052055358887
98,152,36546686,-9.593554496765137
99,152,69098554,-9.608823776245117
100,531,30199617,-3.4417669773101807
101,531,22220025,-6.565466403961182
102,531,54964898,-6.807685375213623
103,531,31157064,-6.999982833862305
104,531,28789531,-7.0576581954956055
105,531,6989257,-7.067269802093506
106,531,26014758,-7.067922115325928
107,531,23311613,-7.079372406005859
108,531,8615445,-7.245673656463623
109,531,8661155,-7.423449993133545
